aircraft_tail_number,flight_operating_hours,engine_vibration_hz,oil_pressure_psi,exhaust_gas_temp_c,hydraulic_fluid_level_pct,ambient_temperature_c,maintenance_urgency_flag
REG-FLT-000118,14975,2.99,39.67,652.65,52.97,39.76,0
REG-FLT-000119,709,8.6,94.58,519.39,93.49,28.51,1
REG-FLT-000120,3270,3.47,45.76,799.19,50.63,-6.51,0
REG-FLT-000121,257,6.96,42.41,628.54,52.71,33.93,0
REG-FLT-000122,15035,3.87,36.27,566.24,89.06,-40.51,1
REG-FLT-000123,18160,7.21,90.85,556.25,89.44,12.07,0
REG-FLT-000124,2971,2.51,94.32,464.57,69.15,40.7,0
REG-FLT-000125,6764,2.32,81.7,538.25,54.73,15.84,0
REG-FLT-000126,8371,2.38,46.73,789.21,69.6,-16.02,0
REG-FLT-000127,4208,5.32,75.91,772.66,93.43,24.8,0
REG-FLT-000128,1713,7.51,32.06,731.67,64.93,1.03,1
REG-FLT-000129,18156,4.32,78.17,872.9,80.68,6.89,1
REG-FLT-000130,9049,6.09,48.47,532.25,84.71,26.06,0
REG-FLT-000131,11956,4.84,36.7,542.36,68.9,38.7,1
REG-FLT-000132,5321,6.82,32.48,759.07,88.07,-0.78,1
REG-FLT-000133,418,1.37,85.87,593.53,68.36,-18.91,0
REG-FLT-000134,10520,1.32,79.92,787.49,96.29,18.93,0
REG-FLT-000135,16371,4.68,65.81,774.82,71.75,5.3,0
REG-FLT-000136,4669,2.32,57.0,606.84,79.41,26.43,0
REG-FLT-000137,18134,2.01,63.5,604.85,99.92,43.03,0
REG-FLT-000138,7554,5.05,75.94,700.7,70.22,-23.8,0
REG-FLT-000139,15748,6.69,36.03,731.98,59.15,39.01,1
REG-FLT-000140,4549,2.51,38.38,767.14,80.12,-30.82,0
REG-FLT-000141,16788,1.76,58.01,877.07,75.07,-27.73,1
REG-FLT-000142,9775,4.63,48.61,824.86,62.79,30.31,1
REG-FLT-000143,3016,6.6,71.46,876.19,76.95,38.21,1
REG-FLT-000144,13939,4.52,79.82,755.33,50.28,-42.29,0
REG-FLT-000145,5496,4.72,42.49,663.53,73.0,-14.92,0
REG-FLT-000146,4685,5.08,44.37,628.49,79.86,40.49,0
REG-FLT-000147,10277,4.55,68.28,448.83,87.52,-14.06,0
REG-FLT-000148,16886,3.82,91.99,507.6,51.76,10.56,0
REG-FLT-000149,13751,2.63,45.45,803.96,64.08,-12.47,0
REG-FLT-000150,13042,8.73,51.52,592.53,88.67,-22.79,1
REG-FLT-000151,5117,4.78,74.35,703.63,76.68,-9.46,0
REG-FLT-000152,17290,4.97,48.94,481.85,97.87,7.78,0
REG-FLT-000153,6695,2.64,90.63,808.19,81.18,43.37,0
REG-FLT-000154,12570,8.38,74.9,460.02,59.86,41.59,1
REG-FLT-000155,713,3.54,56.08,648.01,83.81,24.21,0
REG-FLT-000156,3727,4.32,82.05,667.47,90.88,23.81,0
REG-FLT-000157,13008,7.63,78.63,536.21,64.2,-14.78,1
REG-FLT-000158,2656,6.39,45.8,488.2,64.8,21.69,0
REG-FLT-000159,1933,5.9,84.66,422.83,99.17,0.38,0
REG-FLT-000160,11621,6.18,35.04,865.52,63.46,-43.27,1
REG-FLT-000161,11830,4.17,83.6,803.05,84.15,-9.23,0
REG-FLT-000162,1095,3.51,64.28,470.75,73.84,0.52,0
REG-FLT-000163,1088,7.81,70.19,868.02,95.99,29.44,1
REG-FLT-000164,16974,8.51,60.3,505.46,79.91,-38.04,1
REG-FLT-000165,15848,7.36,51.19,771.27,71.83,-41.87,0
REG-FLT-000166,10990,8.81,73.34,658.12,51.92,25.93,1
REG-FLT-000167,10200,7.45,45.83,810.46,58.06,4.68,0
REG-FLT-000168,15000,1.74,42.06,779.77,92.22,32.19,0
REG-FLT-000169,10933,4.64,77.14,796.78,83.77,-7.93,0
REG-FLT-000170,4227,1.78,68.95,816.66,97.58,30.28,0
REG-FLT-000171,16554,5.98,49.58,652.49,50.12,-26.19,0
REG-FLT-000172,15538,8.24,48.25,580.85,68.86,-24.35,1
REG-FLT-000173,5844,5.29,63.06,642.39,68.85,-24.33,0
REG-FLT-000174,5292,2.22,62.7,841.84,81.01,-21.58,1
REG-FLT-000175,17276,8.86,62.66,630.82,60.33,10.46,1
REG-FLT-000176,7032,4.08,82.5,767.78,80.89,-19.46,0
REG-FLT-000177,14458,7.87,75.29,587.06,81.48,38.36,1
REG-FLT-000178,11273,2.27,41.57,829.64,83.88,20.09,1
REG-FLT-000179,15284,1.54,76.51,420.59,76.81,25.48,0
REG-FLT-000180,7895,1.99,74.75,675.8,79.38,25.62,0
REG-FLT-000181,2527,5.27,72.36,818.22,99.98,-5.09,0
REG-FLT-000182,18185,6.95,69.99,769.63,77.21,-2.73,0
REG-FLT-000183,13329,6.01,75.86,678.34,59.4,-5.07,0
REG-FLT-000184,1369,5.36,78.48,687.57,65.68,16.77,0
REG-FLT-000185,6655,1.5,64.71,618.47,98.62,-9.03,0
REG-FLT-000186,5930,6.4,50.62,439.82,74.18,-36.59,0
REG-FLT-000187,1732,7.45,45.51,445.85,89.57,-38.49,0
REG-FLT-000188,18100,6.26,65.76,783.59,75.84,14.61,0
REG-FLT-000189,1829,6.1,72.23,717.33,56.65,-27.09,0
REG-FLT-000190,15055,5.73,59.69,654.36,76.61,12.2,0
REG-FLT-000191,6427,6.84,69.37,458.91,96.58,-20.7,0
REG-FLT-000192,16104,4.55,60.23,497.52,56.56,-34.72,0
REG-FLT-000193,920,4.53,59.4,753.52,55.13,18.68,0
REG-FLT-000194,4481,7.47,50.52,777.2,79.9,14.59,0
REG-FLT-000195,17614,8.57,56.53,596.77,58.92,35.23,1
REG-FLT-000196,7417,4.5,50.95,644.34,93.44,-0.58,0
REG-FLT-000197,17186,4.15,37.99,733.15,95.79,31.81,1
REG-FLT-000198,4762,5.39,47.42,784.57,89.84,23.44,0
REG-FLT-000199,5505,8.42,80.88,873.1,92.41,-36.44,1
REG-FLT-000200,6345,6.21,65.76,743.96,51.66,-23.99,0
REG-FLT-000201,13028,2.12,73.29,489.27,86.21,-6.07,0
REG-FLT-000202,9189,4.77,59.94,816.41,83.78,7.96,0
REG-FLT-000203,14188,5.33,82.48,607.86,86.01,-8.48,0
REG-FLT-000204,17715,6.31,77.1,502.9,95.97,-17.73,0
REG-FLT-000205,13818,2.23,75.15,436.26,92.62,29.62,0
REG-FLT-000206,2827,3.26,38.07,758.9,79.77,-16.79,0
REG-FLT-000207,12806,8.29,79.94,599.54,77.03,10.51,1
REG-FLT-000208,10241,3.67,68.64,619.0,50.26,-21.73,0
REG-FLT-000209,6384,3.86,81.92,567.56,97.41,-0.45,0
REG-FLT-000210,11524,1.25,57.04,455.55,81.33,40.03,0
REG-FLT-000211,5974,3.37,93.57,675.92,68.79,11.57,0
REG-FLT-000212,8882,1.42,64.24,563.55,74.12,36.32,0
REG-FLT-000213,15451,4.31,83.48,853.09,75.57,-36.81,1
REG-FLT-000214,16555,6.68,80.95,459.58,61.8,-20.78,0
REG-FLT-000215,13872,1.62,66.53,503.33,68.21,38.46,0
REG-FLT-000216,9676,6.99,82.84,670.41,56.27,13.73,0
REG-FLT-000217,15575,6.13,40.71,730.63,52.87,-22.77,0
REG-FLT-000218,6048,6.12,81.01,634.36,72.27,14.74,0
REG-FLT-000219,10925,2.49,62.95,760.04,73.74,-38.29,0
REG-FLT-000220,17267,6.65,43.82,667.45,61.77,-32.5,0
REG-FLT-000221,16045,6.16,86.88,768.89,81.75,-10.64,0
REG-FLT-000222,14818,2.07,65.96,817.8,50.1,6.65,0
REG-FLT-000223,4185,3.35,88.98,498.78,70.18,-44.37,0
REG-FLT-000224,17526,5.59,56.51,512.65,86.26,35.62,0
REG-FLT-000225,17443,4.27,76.19,436.89,82.43,-6.16,0
REG-FLT-000226,9222,6.87,55.46,470.98,82.72,5.28,0
REG-FLT-000227,3348,7.14,67.86,556.84,51.81,-25.95,0
REG-FLT-000228,7273,8.03,72.46,832.54,84.57,-12.84,1
REG-FLT-000229,7830,5.87,76.91,752.57,62.44,4.78,0
REG-FLT-000230,410,6.02,65.75,508.94,66.96,-28.46,0
REG-FLT-000231,3301,4.43,71.25,641.42,81.53,-31.14,0
REG-FLT-000232,15130,3.38,32.26,681.21,63.11,-35.24,1
REG-FLT-000233,11077,4.15,74.59,822.26,90.54,4.34,1
REG-FLT-000234,13619,5.66,61.49,515.13,66.8,3.56,0
REG-FLT-000235,18110,3.59,83.59,539.16,66.11,40.82,0
REG-FLT-000236,6228,7.22,37.77,628.96,81.68,23.52,1
REG-FLT-000237,1140,5.63,92.3,861.74,58.31,4.47,1
REG-FLT-000238,11782,4.64,54.28,641.77,77.55,-19.45,0
REG-FLT-000239,5386,3.83,64.93,862.8,54.06,1.87,1
REG-FLT-000240,11774,5.03,69.22,510.34,81.11,8.13,0
REG-FLT-000241,17891,6.09,42.44,489.73,74.72,-26.25,0
REG-FLT-000242,7345,6.76,75.88,866.2,71.52,-1.77,1
REG-FLT-000243,3844,3.33,41.78,660.77,91.05,-13.32,0
REG-FLT-000244,9440,5.91,60.57,459.2,93.45,-24.64,0
REG-FLT-000245,18462,6.79,52.9,859.2,79.25,-10.11,1
REG-FLT-000246,7276,5.61,45.5,840.08,100.0,-27.97,1
REG-FLT-000247,9906,8.29,64.53,621.55,78.28,-39.38,1
REG-FLT-000248,9035,5.96,61.42,840.95,96.84,-15.28,1
REG-FLT-000249,18460,4.41,77.37,874.65,79.84,-42.38,1
REG-FLT-000250,4595,7.25,54.84,650.98,79.64,9.87,0
REG-FLT-000251,3574,7.91,73.34,689.99,94.32,33.15,1
REG-FLT-000252,8891,8.42,36.69,528.01,74.31,-37.95,1
REG-FLT-000253,3409,2.02,93.13,803.65,54.33,-39.6,0
REG-FLT-000254,14538,6.5,90.55,662.2,90.83,-41.36,0
REG-FLT-000255,5862,1.45,60.95,593.21,52.61,19.83,0
REG-FLT-000256,3724,5.57,42.55,835.15,56.73,-13.19,1
REG-FLT-000257,2230,5.26,45.44,619.9,76.51,16.46,0
REG-FLT-000258,11923,3.28,51.69,605.6,81.78,40.39,0
REG-FLT-000259,6328,2.95,66.34,519.58,65.8,41.08,0
REG-FLT-000260,3733,3.1,43.46,839.92,91.14,4.17,1
REG-FLT-000261,16851,7.1,78.74,468.39,87.0,13.75,0
REG-FLT-000262,10524,5.24,81.85,637.48,55.89,-37.18,0
REG-FLT-000263,9319,7.5,66.34,665.19,84.58,-25.34,0
REG-FLT-000264,2344,8.81,32.36,606.45,56.24,21.51,1
REG-FLT-000265,9786,7.04,43.73,575.93,69.57,42.87,0
REG-FLT-000266,10558,5.06,44.64,591.57,73.3,-10.28,0
REG-FLT-000267,5538,8.07,66.69,778.43,53.55,3.12,1
REG-FLT-000268,8797,1.54,87.68,762.54,50.71,32.01,0
REG-FLT-000269,8642,6.52,65.98,526.44,67.35,-21.7,0
REG-FLT-000270,2310,1.71,51.81,812.08,94.16,-38.38,0
REG-FLT-000271,704,4.44,40.7,567.82,60.02,23.25,0
REG-FLT-000272,13738,5.53,65.9,807.52,50.29,1.32,0
REG-FLT-000273,8672,7.8,73.71,553.28,59.09,41.76,1
REG-FLT-000274,13833,6.63,75.09,694.27,76.88,41.91,0
REG-FLT-000275,755,5.85,70.54,521.37,65.24,25.97,0
REG-FLT-000276,2127,8.49,46.31,823.78,83.85,15.0,1
REG-FLT-000277,3410,6.8,50.52,617.03,60.34,10.15,0
REG-FLT-000278,7957,3.88,62.07,466.01,80.74,17.73,0
REG-FLT-000279,1002,2.57,55.05,759.35,91.49,-39.94,0
REG-FLT-000280,10405,4.96,85.94,802.26,73.82,-24.52,0
REG-FLT-000281,4281,3.36,38.99,466.69,50.48,-10.54,0
REG-FLT-000282,3325,1.63,91.65,504.53,65.82,-39.09,0
REG-FLT-000283,11728,4.99,90.43,456.36,53.23,20.72,0
REG-FLT-000284,10571,3.5,78.8,853.34,77.72,-21.18,1
REG-FLT-000285,15193,2.0,77.65,849.39,88.26,32.17,1
REG-FLT-000286,1495,2.9,69.89,425.53,61.23,-14.15,0
REG-FLT-000287,13494,2.83,41.34,490.79,53.21,-34.61,0
REG-FLT-000288,10606,3.37,34.45,876.74,94.18,-41.2,1
REG-FLT-000289,7315,1.93,60.18,776.43,67.59,-6.0,0
REG-FLT-000290,15410,8.0,43.02,817.01,68.76,23.29,1
REG-FLT-000291,14213,2.43,68.0,426.0,73.05,-5.5,0
REG-FLT-000292,4163,3.03,89.45,733.52,69.69,-2.12,0
REG-FLT-000293,12510,3.48,66.07,708.49,96.08,-8.42,0
REG-FLT-000294,16675,4.41,68.49,716.28,98.99,20.71,0
REG-FLT-000295,8493,4.07,66.8,630.19,59.03,0.4,0
REG-FLT-000296,12998,3.87,57.64,623.13,76.91,25.96,0
REG-FLT-000297,9814,6.77,38.79,663.81,60.25,-15.71,0
REG-FLT-000298,11925,1.8,89.66,610.54,99.08,-15.34,0
REG-FLT-000299,2138,5.75,33.56,726.67,62.27,35.4,1
REG-FLT-000300,14561,8.77,75.89,774.01,84.17,42.29,1
REG-FLT-000301,1025,8.42,84.26,657.56,84.67,31.62,1
REG-FLT-000302,9471,2.0,56.88,712.86,85.42,40.01,0
REG-FLT-000303,11081,3.06,63.61,734.05,81.3,17.29,0
REG-FLT-000304,9738,1.86,40.57,490.79,77.17,-36.95,0
REG-FLT-000305,4258,2.89,48.01,566.17,56.13,45.0,0
REG-FLT-000306,9980,8.78,71.03,471.42,51.22,10.1,1
REG-FLT-000307,13902,4.17,61.29,550.67,59.49,16.97,0
REG-FLT-000308,10699,7.09,85.81,700.3,64.71,18.71,0
REG-FLT-000309,914,4.18,61.07,576.17,83.53,-19.65,0
REG-FLT-000310,18015,8.04,57.4,797.0,56.55,-9.85,1
REG-FLT-000311,11472,7.55,77.69,767.4,63.23,28.18,1
REG-FLT-000312,6719,4.5,52.41,450.75,75.34,33.24,0
REG-FLT-000313,2089,6.56,64.31,600.83,59.88,-22.22,0
REG-FLT-000314,3939,3.76,84.37,461.88,83.93,-0.06,0
REG-FLT-000315,5562,7.23,43.62,575.09,84.37,15.49,0
REG-FLT-000316,4270,4.33,74.41,556.78,50.79,-7.45,0
REG-FLT-000317,4125,7.49,79.91,753.41,60.14,24.2,0
REG-FLT-000318,1472,6.86,48.63,664.69,71.67,2.59,0
REG-FLT-000319,4368,6.82,43.65,619.37,69.88,36.77,0
REG-FLT-000320,17374,4.12,33.08,850.05,76.29,-38.24,1
REG-FLT-000321,11851,4.53,82.88,639.0,72.23,25.87,0
REG-FLT-000322,10153,1.26,93.44,494.14,66.41,11.95,0
REG-FLT-000323,1193,6.74,67.59,462.39,97.47,26.77,0
REG-FLT-000324,14168,7.8,71.07,628.77,85.45,-35.43,1
REG-FLT-000325,4388,1.83,76.46,534.19,64.5,10.38,0
REG-FLT-000326,11914,5.82,57.87,792.71,99.52,-25.26,0
REG-FLT-000327,13858,7.9,35.98,477.77,81.69,25.35,1
REG-FLT-000328,12836,7.75,85.51,441.69,67.27,16.31,1
REG-FLT-000329,12609,3.84,75.3,809.52,72.84,9.6,0
REG-FLT-000330,8091,4.07,83.34,552.47,86.94,5.18,0
REG-FLT-000331,14044,8.11,85.16,488.25,65.48,-31.94,1
REG-FLT-000332,7444,1.65,34.57,817.18,67.67,13.08,1
REG-FLT-000333,4352,4.65,88.77,639.67,64.39,-37.99,0
REG-FLT-000334,6261,3.44,91.95,547.35,83.66,-14.45,0
REG-FLT-000335,18040,4.51,57.3,765.44,54.59,24.02,0
REG-FLT-000336,1181,6.35,73.95,801.59,55.7,21.34,0
REG-FLT-000337,17988,7.53,72.62,609.76,98.82,-22.58,1
REG-FLT-000338,18432,4.04,91.08,495.78,65.38,-37.1,0
REG-FLT-000339,13254,6.09,33.02,488.53,57.75,-1.16,1
REG-FLT-000340,8604,1.99,75.21,435.91,61.52,-16.34,0
REG-FLT-000341,5089,8.73,44.99,540.34,84.94,-23.77,1
REG-FLT-000342,7729,1.32,84.45,744.35,63.24,22.48,0
REG-FLT-000343,1015,3.4,92.16,600.29,51.75,23.66,0
REG-FLT-000344,793,8.58,58.66,863.79,51.51,10.15,1
REG-FLT-000345,9321,2.5,69.22,740.86,93.03,4.19,0
REG-FLT-000346,17982,2.91,44.44,619.05,77.71,31.32,0
REG-FLT-000347,15940,6.68,36.76,447.57,87.52,-15.58,1
REG-FLT-000348,13943,2.56,40.8,865.48,79.08,-35.75,1
REG-FLT-000349,8894,3.08,80.05,877.44,62.46,-4.46,1
REG-FLT-000350,10563,2.85,52.99,879.72,64.86,-43.02,1
REG-FLT-000351,4793,8.63,92.2,553.29,89.12,-9.34,1
REG-FLT-000352,3180,3.1,74.4,670.42,63.5,25.67,0
REG-FLT-000353,6125,7.68,45.33,833.54,58.05,36.13,1
REG-FLT-000354,18370,6.05,64.31,708.94,83.38,-23.4,0
REG-FLT-000355,1495,3.97,68.33,615.09,73.49,38.06,0
REG-FLT-000356,17094,6.85,66.67,552.33,75.08,38.59,0
REG-FLT-000357,8940,7.98,72.15,587.6,78.26,25.97,1
REG-FLT-000358,11414,4.67,70.23,742.46,75.79,-38.12,0
REG-FLT-000359,17304,5.72,51.14,660.45,60.25,-35.58,0
REG-FLT-000360,10653,4.26,44.38,838.75,65.8,-34.82,1
REG-FLT-000361,2093,7.49,74.82,818.88,54.13,37.52,0
REG-FLT-000362,623,3.77,78.7,602.09,98.4,41.6,0
REG-FLT-000363,8206,2.44,42.56,547.12,67.36,37.02,0
REG-FLT-000364,15668,3.13,48.25,643.6,66.11,42.68,0
REG-FLT-000365,2160,1.76,52.12,766.6,65.23,9.91,0
REG-FLT-000366,7519,7.54,79.83,665.69,89.66,-38.62,1
REG-FLT-000367,16916,8.21,57.38,786.14,62.17,-0.68,1
REG-FLT-000368,5192,2.31,33.09,528.56,74.48,23.52,1
REG-FLT-000369,13326,5.43,43.51,613.2,71.02,22.95,0
REG-FLT-000370,12044,7.21,83.43,625.69,78.67,-26.06,0
REG-FLT-000371,7868,3.07,78.34,601.3,70.19,-2.63,0
REG-FLT-000372,9286,5.03,84.73,522.26,58.3,-22.26,0
REG-FLT-000373,11511,7.25,72.59,683.39,50.34,16.21,0
REG-FLT-000374,6835,8.69,34.44,541.05,55.1,28.33,1
REG-FLT-000375,12529,5.05,52.11,738.59,53.77,27.98,0
REG-FLT-000376,12017,2.38,73.82,867.91,74.1,11.03,1
REG-FLT-000377,15299,2.99,86.51,760.6,95.95,-35.41,0
REG-FLT-000378,15243,4.22,88.3,838.86,53.54,24.56,1
REG-FLT-000379,18232,3.63,54.75,656.85,68.88,-12.21,0
REG-FLT-000380,15784,8.55,83.04,768.78,60.53,20.43,1
REG-FLT-000381,10479,3.1,37.47,552.12,96.99,15.17,1
REG-FLT-000382,6407,7.28,84.7,821.58,50.29,-2.08,1
REG-FLT-000383,5436,8.6,86.43,864.36,53.36,12.08,1
REG-FLT-000384,13702,4.37,53.66,728.56,91.61,-41.15,0
REG-FLT-000385,5289,3.24,64.87,749.25,56.49,6.72,0
REG-FLT-000386,16137,3.77,75.7,789.3,56.66,-30.33,0
REG-FLT-000387,424,1.79,67.21,627.72,93.94,-11.75,0
REG-FLT-000388,11864,1.63,73.24,550.6,85.51,41.46,0
REG-FLT-000389,17395,4.53,92.3,711.2,90.3,34.34,0
REG-FLT-000390,13630,2.61,85.33,440.55,85.29,25.55,0
